"","GSM671268","GSM671269","GSM671270","GSM671271","GSM671297","GSM671298","GSM671299","GSM671300","GSM671301","GSM671302","GSM671303","GSM671304","GSM671305","GSM671306","GSM671307","GSM671308","GSM671309","GSM671310","GSM671311","GSM671312","GSM671313","GSM671314","GSM671315","GSM671316","GSM671317","GSM671318","GSM671319","GSM671320","GSM671321","GSM671322","GSM671323","GSM671324","GSM671325","GSM671326","GSM671327","GSM671328","GSM671329","GSM671330","GSM671331","GSM671332","GSM671333","GSM671334","GSM671335","GSM671336","GSM671337","GSM671338","GSM671339","GSM671340","GSM671341","GSM671342","GSM671343","GSM671344","GSM671345","GSM671346","GSM671347","GSM85215","GSM85216","GSM85217","GSM85218","GSM85219","GSM85220","GSM85221","GSM85222","GSM85223","GSM85224","GSM85225","GSM85226","GSM85227","GSM85228","GSM1327256","GSM1327257","GSM1327258","GSM1327259","GSM1327260","GSM1327261","GSM1327262","GSM1327231","GSM1327232","GSM1327233","GSM1327234","GSM1327235","GSM1327236","GSM1327237","GSM1327238","GSM1327239","GSM1327240","GSM1327241","GSM1327242","GSM1327243","GSM1327244","GSM1327245","GSM1327246","GSM1327247","GSM1327248","GSM1327249","GSM1327250","GSM1327251","GSM1327252","GSM1327253","GSM1327254","GSM1327255"
"ALANINE- ASPARTATE AND GLUTAMATE METABOLISM ",0.409708976464874,0.38696293201298,0.411250652497752,0.480499322401337,0.452527020658642,0.614049263106348,0.380886714800443,0.536013714769035,0.417056261789409,0.408087478930579,0.461512299586785,0.521277304355775,0.472312733395831,0.497878756500131,0.513995969783338,0.52405696467074,0.520700745661033,0.528428723102787,0.45224330880438,0.435488493153262,0.459454978685793,0.441563596861814,0.450881657706968,0.55318774150205,0.448875549903467,0.409516409819603,0.49107461781324,0.452834878275618,0.450014677622497,0.500965253718247,0.451740927250576,0.625775954032797,0.447149404757361,0.484116400300077,0.44562581446797,0.422590709355962,0.468140387685987,0.435960306296099,0.429408087624245,0.403353903663523,0.377979687670573,0.463832223820373,0.480683191727695,0.44954153043548,0.476729927056721,0.487129420576749,0.539604296038668,0.393955929510569,0.469603150658815,0.466163050768107,0.360721780180254,0.399588268579345,0.436301188278915,0.360333450337476,0.474333720017856,0.42633469208122,0.463013087294311,0.4792748509843,0.427451648388257,0.422389919456581,0.449342246611611,0.579221893717318,0.444606325352904,0.452393869724338,0.475974319956498,0.473176190108426,0.468179555559478,0.530680039811932,0.431001845540194,0.507242064484641,0.469050766613427,0.481336701524858,0.437512834441473,0.442778406749718,0.469826531073574,0.415547153289966,0.410727761482535,0.425889426245822,0.424276268895109,0.440241790681067,0.453756479541714,0.601772132176586,0.434719243436072,0.41183152680132,0.477928789396275,0.440689682735317,0.431254770107156,0.495636325275508,0.480460672603729,0.466088699088277,0.465021115444702,0.462674314078711,0.655269180811285,0.493786385110964,0.476566133595775,0.618163270740347,0.472896157078814,0.443818987992245,0.415522310607294,0.463169143349473,0.459766250599899
"FOLATE BIOSYNTHESIS ",0.527995264620161,0.542629490526294,0.554996703330907,0.530782188862547,0.559691675575037,0.582966060625881,0.558780205941914,0.543627466563784,0.60637219580619,0.579881540145968,0.6322719068753,0.574363871001951,0.598918394695703,0.60873362186004,0.574655111895083,0.595647232629663,0.584222064946776,0.590510166780267,0.566261888422923,0.576805949755063,0.5690023238592,0.602448405930782,0.626524845827417,0.584237607304295,0.576741011054976,0.58539492785567,0.605660490972332,0.591024969158399,0.578585508691023,0.577363151076289,0.611588710796944,0.545866102067808,0.604982713446449,0.6205563734623,0.597216023048926,0.611846582826932,0.618534587716565,0.565685702357979,0.587754517913139,0.595521773203406,0.63613187918487,0.61759848852959,0.637281389252964,0.624688586702349,0.598747275073364,0.58595791634289,0.578957719413011,0.515676137768369,0.563318015442383,0.559826726605861,0.565313470069854,0.535537222070648,0.569175872023649,0.419559745592705,0.579194986702932,0.559341596652646,0.565624594397968,0.635343916584356,0.614517283548689,0.599579619377124,0.549326813043244,0.571341056635085,0.590145589111306,0.588434825974473,0.58399289438416,0.612297639903276,0.570692733577452,0.556766394015552,0.605464255416477,0.564437598430545,0.585735308970961,0.58791020118835,0.575712391873256,0.607990433023955,0.602220128006097,0.583652525366871,0.585514026072285,0.559983628414476,0.627540514324317,0.635389836895981,0.570518816153367,0.535810077000749,0.57717081499555,0.561972892407496,0.601553824337819,0.560059423437232,0.56349933282744,0.561969307768351,0.582862127970661,0.58444750491514,0.560153204080833,0.593124335190354,0.551540787934519,0.628388523768185,0.57633545022632,0.56528715529115,0.580770156106974,0.621478628371875,0.627504059188543,0.576637421128709,0.581216387135693
"COMPLEMENT AND COAGULATION CASCADES ",0.256420654023816,0.222672327518561,0.205414291719212,0.235577014231436,0.344743602021312,0.33323962184614,0.336128393577904,0.329709476282005,0.345166391208973,0.321738556575217,0.342268837288421,0.458207443768338,0.65386973640036,0.657999623918393,0.456208581832195,0.151722806391783,0.426561763914908,0.112983920188306,0.418864177309264,0.465515348011714,0.497015560934185,0.484651013119103,0.590104074765979,0.435412166712408,0.443237762667418,0.445195595826309,0.557852885642212,0.484175591446067,0.43265852345387,0.474271419731354,0.614998879757011,0.457079515979718,0.585449129483726,0.701545604717713,0.568635638374437,0.594477850497279,0.555552345933949,0.482622638785345,0.465087047682445,0.597295948181829,0.686061387466431,0.593686559697561,0.471689565534191,0.572515183784003,0.60997791942055,0.455390792879956,0.462664684201584,0.306032660501051,0.336135493945141,0.435535534912845,0.398497452178975,0.344759566618014,0.382292071301022,0.329489766638152,0.641497297221172,0.321963287168498,0.302227803462305,0.179998273208018,0.213492601011061,0.274327212684108,0.343678397561678,0.186489844258638,0.501453608894007,0.443524386300663,0.655757777267287,0.494713207704254,0.488629842301911,0.461020206581158,0.563138502102837,0.311050138100767,0.295766837316056,0.29923633169861,0.292692840328973,0.144986208378002,0.192409538731377,0.291379225852995,0.504893258392108,0.182827519115329,0.088388046836455,0.640782582830012,0.417548933801988,0.198674983236274,0.45465690191797,0.449890338814401,0.620564947825741,0.36794084663056,0.105371200074349,0.455686087178293,0.64766523974744,0.501563451227407,0.458615056176373,0.477741226698242,0.43208455440183,0.43233725372254,0.464265004031024,0.405413249056983,0.533940256270294,0.529944292122091,0.428634295902896,0.137859508394502,0.522535658175045
"CITRATE CYCLE -TCA CYCLE- ",0.218774242974889,0.148998209798147,0.153847935867099,0,0.14975444049245,0.123974537856513,0.228654594483537,0.156583531506877,0.103586480976991,0.180817693864362,0.192500993489426,0.037322161378647,0.0343959534663533,0.0479002672193044,0.0631742574272111,0,0.0563331019277344,0.0313093858801868,0.0571381654788683,0.0751620188452895,0.0764134262666677,0.107277325105549,0.0688561261349785,0.0860652696233294,0.0727099110907019,0.0855411399298077,0.0899661937178262,0.109561836465919,0.138227088241257,0.0919477629034788,0.11861116596874,0.136120467308771,0.0976495490780689,0.0703619385391799,0.0973969505641142,0.130136821126629,0.0922612178142891,0.112076763212829,0.0750158098184595,0.100712372677291,0.0741079221325115,0.0902986032380156,0.114076101709426,0.0904869067743853,0.0553243487637006,0.00993807852535202,0,0.180163862194368,0.149919178396611,0.138314903219881,0.134896500042571,0.176345583353218,0.0948607640804641,0.134610088571103,0.0408317839226012,0.123398558375674,0.131490018755976,0.113797669144785,0.113165609757421,0.121552743728346,0.161998529149956,0.15225472504705,0.0779864794834808,0.110114371133285,0.0674130763675024,0.0924952510519585,0.0615919027534968,0.0737594786278242,0.0801096123931364,0,0,0,0.0212794411678022,0.0420229027870156,0.00690561078529764,0.00226405308431506,0.0918306784489461,0.140190169816052,0.162142746646272,0.0995720707087446,0.114339041236712,0.239911952250674,0.124966375793455,0.153885256650789,0.0653452261204791,0.161866020925488,0.146377995652316,0.103271990006747,0.0537743882832649,0.0846658569330616,0.15328583128057,0.110340286021032,0.182279785392489,0.159442081219269,0.0845693685627589,0.131505737183769,0.139683890762365,0.12779940575548,0.188932228818751,0.091018288383509,0.12529285565452
"ANTIGEN PROCESSING AND PRESENTATION ",0.178810162845022,0.179782320299876,0.177873031431785,0.175332863470012,0.184246174322854,0.176690132212542,0.182570469941315,0.188155101476007,0.181929926086924,0.187284315422269,0.187512178370826,0.182815328790513,0.182024598017692,0.179049592977215,0.175931706098995,0.178489589412473,0.180967001364274,0.176988400888101,0.178825717241854,0.179068197902796,0.182313839319353,0.184201523942598,0.185620797164291,0.187291672411374,0.185685494796667,0.186428257594471,0.187314041304559,0.184868870791208,0.188979160938832,0.187795471236181,0.18876545518901,0.189126220758087,0.187234929482582,0.183260141909775,0.186727588877627,0.1859018338301,0.183759380622364,0.187756085481088,0.189894985903005,0.189385930835995,0.182867250476933,0.191603680070052,0.186025719560094,0.182738204601734,0.186809779775088,0.18426244974096,0.186367341511673,0.181944373441103,0.192085064881243,0.18871312419032,0.186634304607649,0.189431740815,0.186543030724536,0.185858641935693,0.18167165157191,0.182796643554752,0.182259580350637,0.174227035158614,0.184629837732428,0.177911388905539,0.180172755137444,0.187971400015032,0.181712496749559,0.191840358256892,0.187776515997335,0.190232186122559,0.187633448333109,0.180855728434049,0.187270185778706,0.175474408347755,0.172070662991934,0.172953649224707,0.184494064173675,0.182802151237206,0.179508525328423,0.179940871097796,0.187002095738987,0.182352725193338,0.183924103375128,0.184554151384407,0.185989480207085,0.186161584250891,0.184104120255126,0.185740781169896,0.185664264076816,0.183673275934327,0.186100679122452,0.186643846674974,0.186235432548745,0.188405178054685,0.188259684275293,0.188189125047833,0.186173752379921,0.186939584434124,0.185481607736013,0.184487612748386,0.187908780173066,0.187708795642513,0.18829646566902,0.185923304784213,0.185421999426728
"PRIMARY IMMUNODEFICIENCY ",0.365346174616019,0.376056154009222,0.394080321068061,0.351898449870592,0.361330834441062,0.373146341440737,0.353103950705371,0.356281213585562,0.355362307035988,0.351580423487226,0.362879521433872,0.406178507365713,0.459072985788191,0.527656419973316,0.380876386565246,0.417899468366112,0.373692040244769,0.511542607267086,0.367967512381318,0.397431514127592,0.405568761844598,0.377220308045152,0.468445687610518,0.382400737083208,0.392837447641261,0.371608505325084,0.423661825804836,0.383895790864342,0.373247274671633,0.384390378658339,0.448373014581904,0.377443367183286,0.436009723942647,0.492517308335727,0.411351095316574,0.453638490408324,0.443372548581711,0.394405729235402,0.388579937782895,0.427931599996083,0.527055055389578,0.413073800834671,0.503989529293906,0.434122217880484,0.436273154050215,0.36137870948352,0.402436059401242,0.357230300491399,0.384889079192503,0.372619101533228,0.361797840192691,0.370630136358918,0.376141688061209,0.350557970234728,0.411996621206806,0.363733245453414,0.335587271961193,0.496547315425544,0.433883511094185,0.370447031094309,0.392315035960805,0.434011274443455,0.38174444139625,0.370046300093104,0.431793247310595,0.42392794252713,0.405063413970617,0.371620651325911,0.418444278998043,0.331572868492601,0.371245055421094,0.351974910622283,0.359469848415195,0.470602092967531,0.504762902679631,0.34438155742017,0.405467304882715,0.405652216628098,0.517037972880476,0.469857321172373,0.383629911402676,0.461393671342581,0.368734108486026,0.368525148317796,0.414812257851428,0.351326628912157,0.455082201371032,0.398495212029649,0.507629552585072,0.400700330187709,0.386378419190442,0.402100421982959,0.36420764115789,0.358179331524135,0.373237182070579,0.362578843852754,0.43713404695896,0.395618439947589,0.364558466246742,0.459050201655763,0.383975270014431
"DORSO-VENTRAL AXIS FORMATION ",0.661566639415669,0.671052674192862,0.645005367481673,0.113852103493858,0.445132648594504,0.416285293759121,0.415621138706271,0.399665292291463,0.383357849382062,0.502838253161161,0.415022224324677,0.594789855901552,0.665054715922226,0.641790860779093,0.672158514134381,0.295979271817986,0.667451367561081,0.619759826703552,0.319050988482407,0.732234110335153,0.720776365833197,0.757462088990552,0.820411177026287,0.739192272177652,0.731795935593837,0.759507993795425,0.699187146003387,0.783043439221867,0.687036324748852,0.647337602846113,0.698542442380776,0.699825618393374,0.711600145857773,0.725705620535334,0.780840300837445,0.709409741068779,0.725843660135728,0.741991588742661,0.771570989696427,0.826761352225258,0.765959988905702,0.744861069626332,0.76067310518754,0.635797439827129,0.861438555057112,0.709752321041329,0.653384884681754,0.605992893826715,0.410904616401937,0.541649738946575,0.579281321650614,0.43720300620333,0.534370553494807,0.409285635481762,0.223074239248998,0.246559974860018,0.57303072717795,0.660273425988094,0.72838453233239,0.630007667939894,0.599731795775287,0.699429274332861,0.314638883282449,0.731010203184214,0.728080004701738,0.763480727781359,0.500626693936863,0.442918219325263,0.180353412483951,0.208437943259625,0.0498573405556669,0.0963978982809117,0.144425529331144,0.619759826703552,0.173647691952435,0.212179917913075,0.741746432234611,0.721187993843332,0.704582602625217,0.81255444930291,0.440754531747849,0.642400345934758,0.74785604238298,0.544306322737216,0.727582409106922,0.428057661740504,0.731052890043222,0.659675514436879,0.219805017197208,0.738988554014939,0.750088382421684,0.715997817894985,0.723309846706486,0.750440308256735,0.782451485460517,0.704117802952895,0.730419143930187,0.773094762715401,0.462095262487373,0.715331674663086,0.761008358563609
"TRYPTOPHAN METABOLISM ",0.354270518203992,0.416385403128529,0.417599268306316,0.429938989862277,0.472395395040844,0.472336997646834,0.436987575489732,0.424629916913888,0.492130831821013,0.47367039676541,0.451679011560305,0.578952942979649,0.593653974106744,0.585462014957717,0.637484144066905,0.579104292443361,0.665109430473822,0.598988286151622,0.535540749415528,0.663274545751679,0.662320105391703,0.627705862543927,0.657857697255356,0.679318306090969,0.699762193632402,0.661562932400516,0.627537523564097,0.639771163419551,0.687529254755278,0.695066965234686,0.624170981216022,0.522074334997419,0.650381605819027,0.641284547632927,0.645910908654916,0.575793572239444,0.638797831150987,0.662186080690407,0.685015762730176,0.62608046015621,0.582167469740157,0.685235307698963,0.649685891470031,0.542757217520508,0.732343598588938,0.618332052237844,0.662008955858352,0.345084519349324,0.462534472493485,0.575982120028938,0.483930572871072,0.421299432397341,0.645254831699654,0.447057936312906,0.624356651015342,0.502668493361168,0.497192247990546,0.557137877499799,0.495838294698698,0.507701874762228,0.411509958063697,0.499151066232148,0.638437172244654,0.64970085117259,0.655999964719674,0.699882606272255,0.651156884497189,0.727628531533272,0.616545514595267,0.5735455193603,0.571083471467233,0.567420999783048,0.54193213110884,0.563289677166889,0.577272734859627,0.54193213110884,0.657389846309988,0.457662819122777,0.504960772329416,0.686346942580067,0.677243199182129,0.418032440163427,0.667686911066355,0.465587681760123,0.605829206716774,0.471850136165,0.468484381572051,0.691119967159831,0.589244360068792,0.67920528099553,0.670408911762463,0.718704451109345,0.684397747453437,0.672402963873126,0.709815858189736,0.623842106463278,0.653547635922033,0.676407409910133,0.495514127946428,0.659771657478342,0.614856081209583
"PRION DISEASES ",0.363655568725741,0.366195185332482,0.364617000572444,0.348511318198795,0.496268952552859,0.563245454412071,0.546045789045234,0.486126711955318,0.555102446465611,0.56302408239604,0.547848488538726,0.534583181706796,0.700096213563436,0.734590895553494,0.564641629447353,0.51995659612168,0.560299452013029,0.69275390616058,0.548402876607267,0.556660783501889,0.574616557353053,0.553177999609977,0.679323829799225,0.542995281404623,0.636257137801018,0.582415597387777,0.640699444072843,0.584806863082968,0.558896634967174,0.590979405118433,0.681533782483605,0.588256652921509,0.663892468225459,0.731462965003247,0.579754278550597,0.677900408845402,0.57508399512283,0.593030920364472,0.557866222457062,0.651630821932595,0.737054339324967,0.668577524943604,0.699868066902499,0.717290462936285,0.681157326495061,0.558413085032901,0.60355298098489,0.498418350620709,0.536268395973897,0.581132008797301,0.553766329568665,0.5345543656117,0.526174702139367,0.512248012562235,0.692679327288176,0.529148440032728,0.504454180296162,0.689076333027512,0.390481642286828,0.515645807646337,0.501261623433704,0.577378497686512,0.5986689157443,0.585068104602947,0.691269779008684,0.594099463398879,0.630787611539366,0.584936236496665,0.641290806620419,0.557334904803772,0.582801398085254,0.532689953029326,0.54658421677779,0.710639621589044,0.694909428827803,0.533614706103892,0.558010657571176,0.517344888701693,0.73585993926254,0.694787281717906,0.551515331088032,0.533077549121785,0.543021308116953,0.526282439946543,0.661856452785966,0.533647109375763,0.704722590460306,0.572880598867701,0.7226985748194,0.599553462154864,0.575206320960419,0.584997774149489,0.548335661557767,0.563468800926797,0.565949431751666,0.5563736509375,0.583004555464092,0.590694126830985,0.548335661557767,0.694511143503865,0.566258638313438
"FANCONI ANEMIA PATHWAY ",0.958046703962868,0.973864826350765,0.928829573871545,0.689443653858896,0.969764016988897,0.909146595196856,0.673636196967638,0.933864624214645,0.759572797832658,0.840179726852677,0.689442010895854,0.68319573551455,0.599743472842572,0.764378309422826,0.663046322652863,0.66988570923595,0.687747679573335,0.738924441085104,0.686589855797707,0.694493733070299,0.712757691049357,0.817299608901005,0.810699640428744,0.869597081016037,0.737300857999475,0.695262641869489,0.798481312355939,0.73389050494751,0.910315057969325,0.73969239230363,0.842784782469655,0.799196874669161,0.814276528702926,0.779238579460069,0.745490461861939,0.847713335476547,0.775453792036801,0.828095454990743,0.814209832945173,0.80862227511938,0.797899840264009,0.823278767114491,0.814380436718019,0.783495293377538,0.792701738057982,0.74143961497332,0.747915093248947,1,0.92621566901715,0.75126724469377,0.992560347572433,0.949164338773109,0.966024594639578,0.956340712989366,0.704711295061927,0.908029894361223,0.956144116080265,0.829868251828978,0.955653190635221,0.96497760006255,0.966732321227129,0.744242554200883,0.780541031399447,0.864543688776239,0.547795836436548,0.880220658908329,0.741481483194625,0.763148610464414,0.736808554948282,0.597487947870607,0.538751612145232,0.576834417396829,0.657448482365471,0.743683308127267,0.7782015660388,0.61965163523242,0.925102767321602,1,0.919412869841922,0.854108972889128,0.904676808680961,0.687331680563286,0.945994927516766,0.989764923202664,0.73003628364044,0.95076015451163,0.722922640626761,0.597722986438823,0.712364484533896,0.746357076504061,0.77952353052359,0.890686648870734,0.883444742278686,0.873983521776787,0.911106499467456,0.790677458083291,0.883705826898515,0.799136613971518,0.873771510849491,0.749532210279015,0.852952468935259
